problem,speedup,model,problem_url,solution_url
"Level 1: 1_Square_matrix_multiplication_",0.17,claude-3.5-sonnet,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/problems/l1_p1.py,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/solutions/fa3e10d50ee22fd656c8e4767b3f5157.py
"Level 1: 2_Standard_matrix_multiplication_",0.17,claude-3.5-sonnet,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/problems/l1_p2.py,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/solutions/d5e8b955452b19c73a2acc9f8372d306.py
"Level 1: 3_Batched_matrix_multiplication",0.18,gpt-o1,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/problems/l1_p3.py,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/solutions/d0c502aa627e20a3de8e80dbdc8d2ef0.py
"Level 1: 4_Matrix_vector_multiplication_",0.89,gpt-o1,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/problems/l1_p4.py,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/solutions/ace75607eb636186cc05385c61d181c8.py
"Level 1: 5_Matrix_scalar_multiplication",0.69,claude-3.5-sonnet,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/problems/l1_p5.py,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/solutions/5a8524b63a79d7dfb2085a8f82597b96.py
"Level 1: 6_Matmul_with_large_K_dimension_",0.16,gpt-o1,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/problems/l1_p6.py,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/solutions/5a11f55d9e36f2b68b5774c540201de9.py
"Level 1: 7_Matmul_with_small_K_dimension_",0.39,gpt-o1,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/problems/l1_p7.py,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/solutions/1143f5a65506760015e6c3f06a283f87.py
"Level 1: 8_Matmul_with_irregular_shapes_",0.22,claude-3.5-sonnet,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/problems/l1_p8.py,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/solutions/175f44b0ad194769197ecf985280ba71.py
"Level 1: 9_Tall_skinny_matrix_multiplication_",0.61,claude-3.5-sonnet,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/problems/l1_p9.py,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/solutions/bfe7cc072b506a9a376bb0b68acdf936.py
"Level 1: 10_3D_tensor_matrix_multiplication",0.20,claude-3.5-sonnet,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/problems/l1_p10.py,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/solutions/8f8e6d114217c821c325b7d98d924fde.py
"Level 2: 7_Conv3d_ReLU_LeakyReLU_GELU_Sigmoid_BiasAdd",2.33,claude-3.5-sonnet,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/problems/l2_p7.py,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/solutions/d0d792daeb6fcee0a4d0e1b163978c0f.py
"Level 2: 14_Gemm_Divide_Sum_Scaling",3.17,claude-3.5-sonnet,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/problems/l2_p14.py,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/solutions/3b400dd6bfedc298e2d95b1b95b73c6f.py
"Level 2: 20_ConvTranspose3d_Sum_ResidualAdd_Multiply_ResidualAdd",1.75,claude-3.5-sonnet,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/problems/l2_p20.py,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/solutions/ecce74df42226c991c533ae3ede3de06.py
"Level 2: 90_Conv3d_LeakyReLU_Sum_Clamp_GELU",2.02,claude-3.5-sonnet,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/problems/l2_p90.py,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/solutions/447fac3129139e84230be00b8e0372d7.py
"Level 3: 4_LeNet5",1.32,claude-3.5-sonnet,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/problems/l3_p4.py,https://raw.githubusercontent.com/ScalingIntelligence/KernelBenchLeaderboard/refs/heads/main/docs//assets/solutions/4f80ebb0657e05543d17fb5db74842ed.py
